Time (Sec);S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S31;S32;S33;S34;S35;S36;S37;S38;S39;S40;S41;S42;S43;S44;S45;S46;S47;S48;S49;S50;S51;S52;S53;S54;S55;S56;S57;S58;S59;S60;S61;S62;S63;S64;S65;S66;S67;S68;S69;S70;S71;S72;S73;S74;S75;S76;S77;S78;S79;S80;S81;S82;S83;S84;S85;S86;S87;S88;S89;S90;S91;S92;S93;S94;S95;
7.999999999999998;1000.0;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.992796;99.992796;99.93678399999999;99.968392;99.968392;99.968392;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.989464;99.9896928;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.989464;99.9896928;99.978928;99.978928;99.989464;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.9896928;99.989464;99.989464;99.989464;99.989464;99.989464;999.978928;999.978928;999.978928;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.9896928;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;
8.999999999999998;1000.0;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.992796;99.992796;99.93678399999999;99.968392;99.968392;99.968392;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.989464;99.9896928;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.989464;99.9896928;99.978928;99.978928;99.989464;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.9896928;99.989464;99.989464;99.989464;99.989464;99.989464;999.978928;999.978928;999.978928;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.9896928;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;
9.999999999999998;1000.0;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.992796;99.992796;99.93678399999999;99.968392;99.968392;99.968392;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.989464;99.9896928;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.989464;99.9896928;99.978928;99.978928;99.989464;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.9896928;99.989464;99.989464;99.989464;99.989464;99.989464;999.978928;999.978928;999.978928;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.9896928;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;
10.999999999999998;1000.0;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.992796;99.992796;99.93678399999999;99.968392;99.968392;99.968392;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.989464;99.9896928;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.989464;99.9896928;99.978928;99.978928;99.989464;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.9896928;99.989464;99.989464;99.989464;99.989464;99.989464;999.978928;999.978928;999.978928;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.9896928;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;
11.999999999999998;1000.0;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.992796;99.992796;99.93678399999999;99.968392;99.968392;99.968392;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.989464;99.9896928;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.989464;99.9896928;99.978928;99.978928;99.989464;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.9896928;99.989464;99.989464;99.989464;99.989464;99.989464;999.978928;999.978928;999.978928;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.9896928;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;
12.999999999999998;1000.0;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.992796;99.992796;99.93678399999999;99.968392;99.968392;99.968392;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.989464;99.9896928;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.989464;99.9896928;99.978928;99.978928;99.989464;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.9896928;99.989464;99.989464;99.989464;99.989464;99.989464;999.978928;999.978928;999.978928;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.9896928;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;
13.999999999999998;1000.0;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.992796;99.992796;99.93678399999999;99.968392;99.968392;99.968392;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.989464;99.9896928;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.989464;99.9896928;99.978928;99.978928;99.989464;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.9896928;99.989464;99.989464;99.989464;99.989464;99.989464;999.978928;999.978928;999.978928;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.9896928;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;
14.999999999999998;1000.0;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.992796;99.992796;99.93678399999999;99.968392;99.968392;99.968392;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.989464;99.9896928;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.989464;99.9896928;99.978928;99.978928;99.989464;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.9896928;99.989464;99.989464;99.989464;99.989464;99.989464;999.978928;999.978928;999.978928;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.9896928;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;
15.999999999999998;1000.0;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.992796;99.992796;99.93678399999999;99.968392;99.968392;99.968392;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.989464;99.9896928;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.989464;99.9896928;99.978928;99.978928;99.989464;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.9896928;99.989464;99.989464;99.989464;99.989464;99.989464;999.978928;999.978928;999.978928;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.9896928;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;
17.0;1000.0;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.992796;99.992796;99.93678399999999;99.968392;99.968392;99.968392;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.989464;99.9896928;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.989464;99.9896928;99.978928;99.978928;99.989464;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.9896928;99.989464;99.989464;99.989464;99.989464;99.989464;999.978928;999.978928;999.978928;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.9896928;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;
18.0;1000.0;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.992796;99.992796;99.93678399999999;99.968392;99.968392;99.968392;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.989464;99.9896928;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.989464;99.9896928;99.978928;99.978928;99.989464;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.9896928;99.989464;99.989464;99.989464;99.989464;99.989464;999.978928;999.978928;999.978928;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.9896928;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;
19.0;1000.0;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.992796;99.992796;99.93678399999999;99.968392;99.968392;99.968392;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.989464;99.9896928;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.989464;99.9896928;99.978928;99.978928;99.989464;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.9896928;99.989464;99.989464;99.989464;99.989464;99.989464;999.978928;999.978928;999.978928;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.9896928;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;
20.0;1000.0;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.992796;99.992796;99.93678399999999;99.968392;99.968392;99.968392;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.989464;99.9896928;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.989464;99.9896928;99.978928;99.978928;99.989464;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.9896928;99.989464;99.989464;99.989464;99.989464;99.989464;999.978928;999.978928;999.978928;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.9896928;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;
21.0;1000.0;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.992796;99.992796;99.93678399999999;99.968392;99.968392;99.968392;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.989464;99.9896928;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.989464;99.9896928;99.978928;99.978928;99.989464;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.9896928;99.989464;99.989464;99.989464;99.989464;99.989464;999.978928;999.978928;999.978928;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.9896928;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;
22.0;1000.0;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.99326959999999;99.992796;99.992796;99.93678399999999;99.968392;99.968392;99.968392;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.989464;99.9896928;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.95785599999999;99.989464;99.9896928;99.978928;99.978928;99.989464;99.989464;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.968392;99.978928;99.978928;99.978928;99.978928;99.9896928;99.989464;99.989464;99.989464;99.989464;99.989464;999.978928;999.978928;999.978928;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.989464;999.9896928;999.989464;999.989464;999.989464;999.9896928;999.9896928;999.989464;999.989464;999.989464;999.989464;999.989464;
